profile,household,wear,date,billing_complete,saving_timer,saving_immediate,saving_greedy
comed_time_of_day,ev_only,0,2025-09-25,True,,,
comed_time_of_day,ev_only,0,2025-09-26,True,,,
comed_time_of_day,solar_battery,0,2025-09-01,True,,,
comed_hourly,solar_battery_ev,0,2025-09-01,True,,,
comed_hourly,solar_battery_ev,0,2025-09-02,True,,,
comed_hourly,solar_battery_ev,0,2025-09-03,True,,,
comed_hourly,solar_battery_ev,0,2025-09-04,True,,,
comed_hourly,solar_battery_ev,0,2025-09-05,True,,,
comed_hourly,solar_battery_ev,0,2025-09-06,True,,,
comed_hourly,solar_battery_ev,0,2025-09-07,False,,,
comed_hourly,solar_battery_ev,0,2025-09-08,True,,,
comed_hourly,ev_only,0,2025-09-01,True,0.5201510061978052,1.014803180110849,0.35178113042140646
comed_hourly,ev_only,0,2025-09-02,True,0.4181292985310874,1.0925985014296384,0.2307394434586234
comed_hourly,ev_only,0,2025-09-03,True,,,
comed_hourly,ev_only,0,2025-09-04,True,,,
comed_hourly,ev_only,0,2025-09-05,True,,,
comed_hourly,ev_only,0,2025-09-06,True,,,
comed_hourly,ev_only,0,2025-09-07,False,,,
comed_hourly,ev_only,0,2025-09-08,True,,,
comed_hourly,ev_only,0,2025-09-09,False,,,
comed_hourly,ev_only,0,2025-09-10,True,,,
comed_hourly,ev_only,0,2025-09-11,False,,,
comed_hourly,ev_only,0,2025-09-12,True,,,
comed_hourly,ev_only,0,2025-09-13,True,,,
comed_hourly,ev_only,0,2025-09-14,True,,,
comed_hourly,ev_only,0,2025-09-15,False,,,
comed_hourly,ev_only,0,2025-09-16,True,,,
comed_hourly,ev_only,0,2025-09-17,False,,,
comed_hourly,ev_only,0,2025-09-18,True,,,
comed_hourly,ev_only,0,2025-09-19,False,,,
comed_hourly,ev_only,0,2025-09-20,True,,,
comed_hourly,ev_only,0,2025-09-21,False,,,
comed_hourly,ev_only,0,2025-09-22,True,,,
comed_hourly,ev_only,0,2025-09-23,True,,,
comed_hourly,ev_only,0,2025-09-24,True,,,
comed_hourly,ev_only,0,2025-09-25,True,,,
comed_hourly,ev_only,0,2025-09-26,True,,,
comed_hourly,solar_battery,0,2025-09-01,True,,,
comed_time_of_day,solar_battery_ev,0.02,2025-09-01,True,,,
comed_time_of_day,solar_battery_ev,0.02,2025-09-02,True,,,
comed_time_of_day,solar_battery_ev,0.02,2025-09-03,True,,,
comed_time_of_day,solar_battery_ev,0.02,2025-09-04,True,,,
comed_time_of_day,solar_battery_ev,0.02,2025-09-05,True,,,
comed_time_of_day,solar_battery_ev,0.02,2025-09-06,True,,,
comed_time_of_day,solar_battery_ev,0.02,2025-09-07,True,,,
comed_time_of_day,solar_battery_ev,0.02,2025-09-08,True,,,
comed_time_of_day,ev_only,0.02,2025-09-01,True,0.720715426049094,3.266837339092567,0.720715426049094
comed_time_of_day,ev_only,0.02,2025-09-02,True,0.18423808111134887,2.7303599941548233,0.18423808111134887
comed_time_of_day,ev_only,0.02,2025-09-03,True,,,
comed_time_of_day,ev_only,0.02,2025-09-04,True,,,
comed_time_of_day,ev_only,0.02,2025-09-05,True,,,
comed_time_of_day,ev_only,0.02,2025-09-06,True,,,
comed_time_of_day,ev_only,0.02,2025-09-07,True,,,
comed_time_of_day,ev_only,0.02,2025-09-08,True,,,
comed_time_of_day,ev_only,0.02,2025-09-09,True,,,
comed_time_of_day,ev_only,0.02,2025-09-10,True,,,
comed_time_of_day,ev_only,0.02,2025-09-11,True,,,
comed_time_of_day,ev_only,0.02,2025-09-12,True,,,
comed_time_of_day,ev_only,0.02,2025-09-13,True,,,
comed_time_of_day,ev_only,0.02,2025-09-14,True,,,
comed_time_of_day,ev_only,0.02,2025-09-15,True,,,
comed_time_of_day,ev_only,0.02,2025-09-16,True,,,
comed_time_of_day,ev_only,0.02,2025-09-17,True,,,
comed_time_of_day,ev_only,0.02,2025-09-18,True,,,
comed_time_of_day,ev_only,0.02,2025-09-19,True,,,
comed_time_of_day,ev_only,0.02,2025-09-20,True,,,
comed_time_of_day,ev_only,0.02,2025-09-21,True,,,
comed_time_of_day,ev_only,0.02,2025-09-22,True,,,
comed_time_of_day,ev_only,0.02,2025-09-23,True,,,
comed_time_of_day,ev_only,0.02,2025-09-24,True,,,
comed_time_of_day,ev_only,0.02,2025-09-25,True,,,
comed_time_of_day,ev_only,0.02,2025-09-26,True,,,
comed_time_of_day,solar_battery,0.02,2025-09-01,True,,,
comed_hourly,solar_battery_ev,0.02,2025-09-01,True,,,
comed_hourly,solar_battery_ev,0.02,2025-09-02,True,,,
comed_hourly,solar_battery_ev,0.02,2025-09-03,True,,,
comed_hourly,solar_battery_ev,0.02,2025-09-04,True,,,
comed_hourly,solar_battery_ev,0.02,2025-09-05,True,,,
comed_hourly,solar_battery_ev,0.02,2025-09-06,True,,,
comed_hourly,solar_battery_ev,0.02,2025-09-07,False,,,
comed_hourly,solar_battery_ev,0.02,2025-09-08,True,,,
comed_hourly,ev_only,0.02,2025-09-01,True,0.5201510061978052,1.014803180110849,0.35178113042140646
comed_hourly,ev_only,0.02,2025-09-02,True,0.4181292985310874,1.0925985014296384,0.2307394434586234
comed_hourly,ev_only,0.02,2025-09-03,True,,,
comed_hourly,ev_only,0.02,2025-09-04,True,,,
comed_hourly,ev_only,0.02,2025-09-05,True,,,
comed_hourly,ev_only,0.02,2025-09-06,True,,,
comed_hourly,ev_only,0.02,2025-09-07,False,,,
comed_hourly,ev_only,0.02,2025-09-08,True,,,
comed_hourly,ev_only,0.02,2025-09-09,False,,,
comed_hourly,ev_only,0.02,2025-09-10,True,,,
comed_hourly,ev_only,0.02,2025-09-11,False,,,
comed_hourly,ev_only,0.02,2025-09-12,True,,,
comed_hourly,ev_only,0.02,2025-09-13,True,,,
comed_hourly,ev_only,0.02,2025-09-14,True,,,
comed_hourly,ev_only,0.02,2025-09-15,False,,,
comed_hourly,ev_only,0.02,2025-09-16,True,,,
comed_hourly,ev_only,0.02,2025-09-17,False,,,
comed_hourly,ev_only,0.02,2025-09-18,True,,,
comed_hourly,ev_only,0.02,2025-09-19,False,,,
comed_hourly,ev_only,0.02,2025-09-20,True,,,
comed_hourly,ev_only,0.02,2025-09-21,False,,,
comed_hourly,ev_only,0.02,2025-09-22,True,,,
comed_hourly,ev_only,0.02,2025-09-23,True,,,
comed_hourly,ev_only,0.02,2025-09-24,True,,,
comed_hourly,ev_only,0.02,2025-09-25,True,,,
comed_hourly,ev_only,0.02,2025-09-26,True,,,
comed_hourly,solar_battery,0.02,2025-09-01,True,,,
